"EnsemblID" "Coef.GroupTAD" "p.value.lfc0.5" "FDR.lfc0.5" "B.lfc0.5" "Exp.NAD1" "Exp.TAD1"
"ENSG00000000003" 1.05499274138717 8.58477971532793e-19 5.63377920528262e-18 Inf 5.24614010764198 6.30113284902915
"ENSG00000000419" 0.41863907655888 0.984327206577717 1 -Inf 4.57098123786812 4.989620314427
"ENSG00000000457" 0.689440415902068 5.70739185033889e-07 2.03484007775208e-06 13.1050912931784 3.30341034988981 3.99285076579188
"ENSG00000000460" 2.19068720871905 1.06412455747042e-160 2.01792148393518e-158 Inf 1.30103191919303 3.49171912791208
"ENSG00000000938" -2.24410360901445 1.09786270291447e-156 1.9189685383725e-154 Inf 5.93174285157433 3.68763924255988
"ENSG00000000971" 0.202384086081883 0.983568087007837 1 -Inf 6.63960722016374 6.84199130624562
"ENSG00000001036" 0.282461970479876 0.999999542781362 1 -Inf 6.04011151919563 6.32257348967551
"ENSG00000001084" 1.9076388304175 1.21035759241379e-18 7.89659135511509e-18 Inf 3.89567501704004 5.80331384745755
"ENSG00000001167" 0.93613141135198 6.65160954671584e-19 4.3837378196241e-18 Inf 4.55193906878143 5.48807048013341
"ENSG00000001460" -0.088730050164698 1 1 -Inf 3.47886469990067 3.39013464973597
"ENSG00000001461" -0.415329846642705 0.93829181668071 1 -Inf 5.86118981082736 5.44585996418465
"ENSG00000001497" 0.457149129183384 0.889702928463166 1 -Inf 4.82589528412416 5.28304441330754
"ENSG00000001561" -0.701377771729877 0.00182321785724122 0.00500525841961292 5.29224840857621 6.60537348067648 5.9039957089466
"ENSG00000001617" -0.287271271634794 0.991384206055038 1 -Inf 4.58834253499762 4.30107126336283
"ENSG00000001626" -1.82337322031015 1.62397925257269e-11 7.60214414437907e-11 23.3000060864524 5.50385897841449 3.68048575810434
"ENSG00000001629" 1.31139261604501 1.26294220367996e-42 1.87769239912507e-41 Inf 5.60650546522845 6.91789808127346
"ENSG00000001630" -0.866269436718979 1.61447969366683e-08 6.36326594556805e-08 16.5701389210136 3.34425957843336 2.47799014171438
"ENSG00000001631" 0.54792441051937 0.139156128292822 0.303974933146492 0.828440434028479 4.54874193366587 5.09666634418524
"ENSG00000002016" 0.60124055872015 0.0238576287145214 0.0585474538872657 2.77758634142637 2.2488288405486 2.85006939926875
"ENSG00000002330" -0.000229922908086895 1 1 -Inf 4.92298976695731 4.92275984404922
"ENSG00000002549" -0.0132266052581956 1 1 -Inf 6.84910117902788 6.83587457376969
"ENSG00000002586" -0.0370724453348399 0.999999999999898 1 -Inf 7.31168953008578 7.27461708475094
"ENSG00000002587" 1.42243764979498 1.3980224949709e-16 8.2920183450605e-16 34.7908904206218 2.51118878239645 3.93362643219143
"ENSG00000002726" 3.2845193210111 1.05254609263355e-30 1.07125210167225e-29 Inf -0.346391982285555 2.93812733872555
"ENSG00000002746" 2.70920739041244 2.08836131898774e-49 3.79549284565756e-48 Inf -1.74729423589612 0.961913154516313
"ENSG00000002822" 0.753312231844392 3.63555362699674e-07 1.31246881207366e-06 13.5435992925212 4.13887612796767 4.89218835981206
"ENSG00000002834" 0.50943954434017 0.422643834062716 0.833470392278491 -1.61042506163368 7.77637885222478 8.28581839656495
"ENSG00000002919" 0.0623694659525903 1 1 -Inf 4.84886278693856 4.91123225289115
"ENSG00000002933" 0.601481759739063 0.100370391061717 0.224921430404857 1.2372132613176 5.35582297614088 5.95730473587995
"ENSG00000003056" -0.188327125073571 1 1 -Inf 6.61995218362543 6.43162505855185
